source,experiment,stain,subject_id,intensity_mean,intensity_std,intensity_skew,intensity_kurt,freq_band0,freq_band1,freq_band2,freq_band3,freq_band4,grad_mean,grad_std,gmm_mean1,gmm_mean2,gmm_weight1,gmm_std1,PC1,PC2,PC3,PC4,PC5
real,,YoPro,022,0.026766429,0.48756045,-0.4405579,-0.46398488,0.7297088,0.72571564,0.18114436,-0.18780206,-0.41796649,-0.051705144,0.3693187,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-13.854968,-0.5167202,-1.0488365,-0.0154541135,0.55014235
real,,YoPro,023,0.6450505,0.91610736,-0.553927,-0.48525476,0.8174332,0.6002326,0.12640844,-0.31650233,-0.4872958,0.3545517,0.6925236,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-13.176586,-0.275569,-0.98724794,0.5339974,0.6818677
real,,YoPro,024,0.66290444,1.7811087,-0.50619406,-0.47795174,1.3353989,1.5183644,1.2118249,0.9007975,0.73661596,0.99043006,1.9948908,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-12.043129,0.7630081,1.001305,-0.18261968,1.4870826
real,,YoPro,025,1.2199048,1.1690264,-0.5888922,-0.4896462,1.2682194,1.262563,1.0340738,0.99174047,0.9818494,1.3155997,1.173951,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-11.581856,0.68731153,0.2681979,-0.5732768,0.70851165
real,,YoPro,026,0.9140332,1.5147774,-0.556731,-0.48478097,1.3721255,1.4696305,1.1296436,1.0124826,0.95935005,1.2053459,1.5280972,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-11.7748,0.7659707,0.7474457,-0.4442947,1.0161339
real,,YoPro,027,0.27918535,0.45725545,-0.51667106,-0.474686,0.8915367,0.8385182,0.4029153,0.31384802,0.28155476,0.28851405,0.29888737,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-13.262712,-0.25138876,-0.7103828,-0.5346877,0.33805227
real,,YoPro,028,0.12418949,0.4573526,-0.4387835,-0.45701358,0.83330303,0.7693109,0.31758434,0.17089812,0.09686934,0.22108436,0.2536896,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-13.512963,-0.29743314,-0.82345474,-0.38489106,0.32368442
real,,YoPro,029,2.2054303,1.5965922,-0.62334424,-0.49405733,1.1989527,1.0146122,0.7074753,0.41577047,0.27218565,1.8202513,1.4631575,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-10.828505,0.8470788,-0.25236297,0.58457077,0.84111995
real,,YoPro,030,2.5956204,1.9891586,-0.64395726,-0.49639016,1.4831258,1.270288,1.0083859,0.8597072,0.76639724,2.2377155,1.5904853,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-10.044466,1.1605198,0.36209905,0.43076265,0.75008446
real,,YoPro,031,1.9169471,1.959352,-0.6269498,-0.4949211,1.5612047,1.342927,1.0376288,0.8713485,0.68884516,1.5201213,1.4239216,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-10.839839,0.6631954,0.62148845,0.20139576,0.8084061
real,,YoPro,041,2.147164,1.5299829,-0.62060493,-0.49394786,1.0633128,0.81766576,0.3604729,-0.012710252,-0.109297745,1.6157789,1.2612104,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-11.19337,0.5803417,-0.68137515,0.9600346,0.7541444
